pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:27,01,01,2017,00:37,0,0,Late Night,4,1.86,166,Morningside Heights,42,Central Harlem North,Credit card,10.8
01,01,2017,00:25,01,01,2017,00:55,0,0,Late Night,2,1.7,246,West Chelsea/Hudson Yards,170,Murray Hill,Credit card,30.0
01,01,2017,00:58,01,01,2017,01:07,0,0,Late Night,1,1.4,162,Midtown East,107,Gramercy,Credit card,11.16
01,01,2017,00:36,01,01,2017,00:52,0,0,Late Night,1,1.4,113,Greenwich Village North,164,Midtown South,Cash,12.3
01,01,2017,00:56,01,01,2017,01:15,0,0,Late Night,1,1.5,164,Midtown South,230,Times Sq/Theatre District,Credit card,15.0
01,01,2017,00:14,01,01,2017,00:37,0,0,Late Night,1,4.86,50,Clinton West,145,Long Island City/Hunters Point,Credit card,24.36
01,01,2017,00:51,01,01,2017,00:52,0,0,Late Night,1,0.22,162,Midtown East,229,Sutton Place/Turtle Bay North,Cash,4.3
01,01,2017,00:57,01,01,2017,01:08,0,0,Late Night,1,2.25,162,Midtown East,263,Yorkville West,Cash,11.3
01,01,2017,00:15,01,01,2017,00:29,0,0,Late Night,1,2.43,238,Upper West Side North,75,East Harlem South,Cash,13.3
01,01,2017,00:29,01,01,2017,00:43,0,0,Late Night,1,1.14,100,Garment District,50,Clinton West,Credit card,12.96
01,01,2017,00:20,01,01,2017,00:23,0,0,Late Night,1,0.2,164,Midtown South,234,Union Sq,Credit card,5.3
01,01,2017,00:33,01,01,2017,00:53,0,0,Late Night,1,1.4,90,Flatiron,170,Murray Hill,Cash,14.3
01,01,2017,00:03,01,01,2017,00:08,0,0,Late Night,1,0.92,158,Meatpacking/West Village West,68,East Chelsea,Credit card,8.16
01,01,2017,00:41,01,01,2017,00:59,0,0,Late Night,1,3.87,246,West Chelsea/Hudson Yards,261,World Trade Center,Cash,17.3
01,01,2017,00:31,01,01,2017,00:37,0,0,Late Night,1,0.2,162,Midtown East,162,Midtown East,Credit card,6.3
01,01,2017,00:55,01,01,2017,00:57,0,0,Late Night,1,0.2,170,Murray Hill,170,Murray Hill,Credit card,5.3
01,01,2017,00:26,01,01,2017,00:37,0,0,Late Night,1,1.15,237,Upper East Side South,233,UN/Turtle Bay South,Cash,9.8
01,01,2017,00:39,01,01,2017,00:48,0,0,Late Night,1,2.34,233,UN/Turtle Bay South,236,Upper East Side North,Cash,10.3
01,01,2017,00:54,01,01,2017,01:00,0,0,Late Night,1,0.76,236,Upper East Side North,262,Yorkville East,Credit card,8.16
01,01,2017,00:07,01,01,2017,00:19,0,0,Late Night,3,2.1,249,West Village,170,Murray Hill,Credit card,13.3
01,01,2017,00:27,01,01,2017,00:31,0,0,Late Night,1,0.9,107,Gramercy,90,Flatiron,Cash,6.8
01,01,2017,00:32,01,01,2017,00:41,0,0,Late Night,3,1.0,90,Flatiron,107,Gramercy,Cash,8.8
